filename,transcript,duration
common_voice_en_41923025.mp3,HE WAS BORN AT WICHENFORD IN WORCESTERSHIRE AND EDUCATED AT BALLIOL COLLEGE OXFORD,7.316
common_voice_en_42356358.mp3,THE PORTUGUESE DIVISION WAS OVERRUN AND WITHDREW TOWARDS ESTAIRES,4.436
common_voice_en_42165090.mp3,HER HEALTH BY THIS STAGE WAS ALSO POOR,4.543
common_voice_en_41921729.mp3,HIS SPORTING INTERESTS OUTSIDE OF CRICKET INCLUDED GOLF,6.668
common_voice_en_42528393.mp3,THE FOLLOWING YEAR HE WAS ELECTED TO BE PART OF THE LONDON DESIGNER COLLECTIONS,5.588
common_voice_en_42006138.mp3,A HEALTHY DIET COMBINED WITH LOTS OF EXERCISE CAN HELP YOU KEEP FIT,7.495
common_voice_en_42555516.mp3,SAFRONOV IS THE NEAREST RURAL LOCALITY,4.327
common_voice_en_41951792.mp3,CONTEMPORARY FELLOW MINISTERS IN THE SOUTHERN BAPTIST CONVENTION PRAISED HIS PREACHING ABILITIES,11.456
common_voice_en_42446785.mp3,BUCKNELL TIED FOR THIRD IN THE COLONIAL LEAGUE,5.083
common_voice_en_41974998.mp3,THE GHETTOIZATION WAS COMPLETED WITHIN A WEEK,3.139
common_voice_en_42020013.mp3,PHILPOTT WAS FOR MANY YEARS TREASURER AND THEN PRESIDENT OF THE BRITISH PSYCHOLOGICAL SOCIETY,7.604
common_voice_en_42046273.mp3,BOTH THE ENGINES AND THE GEARBOX PROVED TO BE UNRELIABLE,4.292
common_voice_en_42458975.mp3,THE AWARD WENT TO DAVID FOSTER AND JEREMY LUBBOCK,8.431
common_voice_en_42494012.mp3,ITS PRODUCTS RANGE FROM SUSPENSION FORKS TO DERAILLEURS,4.867
common_voice_en_42435518.mp3,IT BELONGS TO THE LARGE FAMILY OF FRANCOBELGIAN COMICS,6.504
common_voice_en_41930868.mp3,HE ATTENDED IOWA STATE UNIVERSITY WHERE HE PLAYED DEFENSE ON THE SCHOOL'S FOOTBALL TEAM,7.819
common_voice_en_42251480.mp3,SOME OUTSIDE SCHOLARS EXAMINING THE SYSTEM IN DEPTH DISAGREE WITH THE OFFICIAL RESULTS,6.92
common_voice_en_41923270.mp3,MARSHALLVILLE STUDENTS ATTEND GREEN LOCAL SCHOOL DISTRICT IN NEARBY SMITHVILLE,10.483
common_voice_en_42594358.mp3,POLITICAL POSITIONS INSIDE AND OUTSIDE THE PARTY ARE OPEN TO WOMEN,5.516
common_voice_en_42141720.mp3,DESPITE THEIR FREQUENT BOTHERING HE NEVER PAID THEM ANY ATTENTION,6.271
